date,value
2023-01-01,5719
2023-01-02,89952
2023-01-03,7951
2023-01-04,80452
2023-01-05,9470
2023-01-06,70168
2023-01-07,34974
2023-01-08,85966
2023-01-09,74134
2023-01-10,74723
2023-01-11,32076
2023-01-12,15605
2023-01-13,8990
2023-01-14,54901
2023-01-15,88995
2023-01-16,30886
2023-01-17,20133
2023-01-18,19197
2023-01-19,76252
2023-01-20,5121
2023-01-21,13253
2023-01-22,47622
2023-01-23,87271
2023-01-24,61969
2023-01-25,22381
2023-01-26,4073
2023-01-27,97129
2023-01-28,96574
2023-01-29,92943
2023-01-30,23288
2023-01-31,71045
2023-02-01,38889
2023-02-02,42618
2023-02-03,34082
2023-02-04,87732
2023-02-05,5732
2023-02-06,80376
2023-02-07,1524
2023-02-08,77797
2023-02-09,91016
2023-02-10,12815
2023-02-11,40593
2023-02-12,57320
2023-02-13,12845
2023-02-14,97380
2023-02-15,19160
2023-02-16,46000
2023-02-17,95678
2023-02-18,41600
2023-02-19,80931
2023-02-20,37693
2023-02-21,30329
2023-02-22,69851
2023-02-23,70357
2023-02-24,27355
2023-02-25,20586
2023-02-26,83614
2023-02-27,98186
2023-02-28,45814
2023-03-01,7702
2023-03-02,8551
2023-03-03,52012
2023-03-04,55027
2023-03-05,57667
2023-03-06,69666
2023-03-07,46930
2023-03-08,89315
2023-03-09,48366
2023-03-10,18049
2023-03-11,94561
2023-03-12,4188
2023-03-13,85250
2023-03-14,94706
2023-03-15,93006
2023-03-16,74458
2023-03-17,76326
2023-03-18,92374
2023-03-19,30901
2023-03-20,73906
2023-03-21,4629
2023-03-22,94159
2023-03-23,67537
2023-03-24,82323
2023-03-25,63890
2023-03-26,2187
2023-03-27,35371
2023-03-28,92009
2023-03-29,54066
2023-03-30,12266
2023-03-31,54877
2023-04-01,25098
2023-04-02,53225
2023-04-03,18495
2023-04-04,7990
2023-04-05,95907
2023-04-06,8811
2023-04-07,20285
2023-04-08,74105
2023-04-09,96710
2023-04-10,44462
2023-04-11,59558
2023-04-12,11536
2023-04-13,61233
2023-04-14,84023
2023-04-15,12412
2023-04-16,12087
2023-04-17,79654
2023-04-18,83980
2023-04-19,4251
2023-04-20,41262
2023-04-21,74514
2023-04-22,16189
2023-04-23,66365
2023-04-24,32502
2023-04-25,955
2023-04-26,69922
2023-04-27,1008
2023-04-28,91626
2023-04-29,4733
2023-04-30,24803
2023-05-01,53546
2023-05-02,13264
2023-05-03,4065
2023-05-04,16466
2023-05-05,24205
2023-05-06,4622
2023-05-07,46445
2023-05-08,2738
2023-05-09,19159
2023-05-10,64518
2023-05-11,65986
2023-05-12,52598
2023-05-13,47668
2023-05-14,17362
2023-05-15,71267
2023-05-16,72556
2023-05-17,90506
2023-05-18,92942
2023-05-19,19210
2023-05-20,81484
2023-05-21,84141
2023-05-22,46068
2023-05-23,41099
2023-05-24,62969
2023-05-25,94206
2023-05-26,31421
2023-05-27,26056
2023-05-28,98470
2023-05-29,4039
2023-05-30,72964
2023-05-31,64061
2023-06-01,24517
2023-06-02,17393
2023-06-03,84443
2023-06-04,61532
2023-06-05,84979
2023-06-06,99494
2023-06-07,70871
2023-06-08,28251
2023-06-09,13963
2023-06-10,52548
2023-06-11,42765
2023-06-12,97622
2023-06-13,46414
2023-06-14,42817
2023-06-15,8421
2023-06-16,24074
2023-06-17,63579
2023-06-18,91431
2023-06-19,69837
2023-06-20,98438
2023-06-21,37027
2023-06-22,21916
2023-06-23,60532
2023-06-24,9383
2023-06-25,37401
2023-06-26,71945
2023-06-27,96461
2023-06-28,89845
2023-06-29,68184
2023-06-30,80385
2023-07-01,16282
2023-07-02,67642
2023-07-03,12661
2023-07-04,28965
2023-07-05,22298
2023-07-06,35728
2023-07-07,9557
2023-07-08,39426
2023-07-09,48737
2023-07-10,7675
2023-07-11,46413
2023-07-12,32772
2023-07-13,26038
2023-07-14,55617
2023-07-15,41213
2023-07-16,60918
2023-07-17,78151
2023-07-18,65931
2023-07-19,32297
2023-07-20,82385
2023-07-21,60622
2023-07-22,80649
2023-07-23,38900
2023-07-24,28678
2023-07-25,75168
2023-07-26,94963
2023-07-27,12960
2023-07-28,36350
2023-07-29,87733
2023-07-30,45477
2023-07-31,17659
2023-08-01,80888
2023-08-02,87317
2023-08-03,1336
2023-08-04,55388
2023-08-05,37125
2023-08-06,5045
2023-08-07,96559
2023-08-08,50195
2023-08-09,69834
2023-08-10,14596
2023-08-11,31294
2023-08-12,41698
2023-08-13,27911
2023-08-14,40844
2023-08-15,87424
2023-08-16,12826
2023-08-17,39150
2023-08-18,18046
2023-08-19,58949
2023-08-20,23081
2023-08-21,56592
2023-08-22,97109
2023-08-23,40207
2023-08-24,96458
2023-08-25,63333
2023-08-26,30051
2023-08-27,84042
2023-08-28,95735
2023-08-29,45903
2023-08-30,44058
2023-08-31,74131
2023-09-01,7560
2023-09-02,39936
2023-09-03,93569
2023-09-04,94636
2023-09-05,35461
2023-09-06,61569
2023-09-07,45014
2023-09-08,59007
2023-09-09,23457
2023-09-10,42601
2023-09-11,35864
2023-09-12,75421
2023-09-13,17693
2023-09-14,5564
2023-09-15,7842
2023-09-16,23644
2023-09-17,47293
2023-09-18,69321
2023-09-19,72674
2023-09-20,40487
2023-09-21,27920
2023-09-22,73730
2023-09-23,90140
2023-09-24,22710
2023-09-25,24255
2023-09-26,86536
2023-09-27,19178
2023-09-28,64271
2023-09-29,67443
2023-09-30,84401
2023-10-01,95408
2023-10-02,85350
2023-10-03,29
2023-10-04,23445
2023-10-05,19616
2023-10-06,84228
2023-10-07,58228
2023-10-08,7620
